version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,team,baseline,v0+p233ec2cecfdf+teb3e2243f237,233ec2cecfdf,eb3e2243f237,baseline,Đo lường hành vi khởi tạo chưa tối ưu của starter prompt và tools,case_accuracy,,0.80,runs/v0_B_base_openai_20260915T190102383627.json
v1,team,system_prompt.md,v1+p42565957a714+teb3e2243f237,42565957a714,eb3e2243f237,Bổ sung quy tắc clarify khi thiếu ID và xác nhận action,Hướng dẫn rõ ràng về clarify khi thiếu ID và xác nhận action sẽ khắc phục các lỗi missing_info và wrong_boundary,case_accuracy,0.80,1.00,runs/v1_B_base_openai_20260915T190729656943.json
v2,team,tools.yaml,v2+p42565957a714+t39df575bfd5f,42565957a714,39df575bfd5f,Chuẩn hóa mô tả và schema chặt chẽ cho toàn bộ 9 tool,Mô tả schema rõ ràng giúp củng cố interface và chống các lỗi trích xuất tham số ngoài phạm vi,case_accuracy,1.00,0.9667,runs/v2_B_base_openai_20260915T191044858308.json
v3,team,system_prompt.md & tools.yaml,v3+p7f6de4443dbf+t73ec14db560b,7f6de4443dbf,73ec14db560b,Tối ưu hóa toàn diện ranh giới xác nhận action phân loại chính sách và guardrail chống injection,Đạt độ chính xác 100% trên toàn bộ cả 4 bộ test suites (Base Group Extension Adversarial),case_accuracy,0.9667,1.00,runs/v3_B_base_openrouter_20260915T201112038370.json
